lkey,kr,en
ability_77_description,"1초마다 유도 탄환 3개, 공격력 각 1","1초마다 유도 탄환 3개, 공격력 각 1"
ability_78_name,"punishment","punishment"
ability_78_description,"즉사탄 확률 +15%, 고정피해 -0.05","즉사탄 확률 +15%, 고정피해 -0.05"
ability_79_name,"ranger","ranger"
ability_79_description,"1초마다 별을 1회 관통하는 탄환, 공격력 3","1초마다 별을 1회 관통하는 탄환, 공격력 3"
ability_80_name,"rearm","rearm"
ability_80_description,"10초마다 0.5초간 탄환 발사 불가, 연사 간격 -25%","10초마다 0.5초간 탄환 발사 불가, 연사 간격 -25%"
ability_81_name,"reinforce","reinforce"
ability_81_description,"아이템 획득시 치명타 확률 +10%","아이템 획득시 치명타 확률 +10%"
ability_82_name,"resonance","resonance"
ability_82_description,"랜덤 능력 3개 추가","랜덤 능력 3개 추가"
ability_83_name,"rogue","rogue"
ability_83_description,"연사 간격 -15%","연사 간격 -15%"
ability_84_name,"seeping","seeping"
ability_84_description,"10초마다 공격력 +0.1","10초마다 공격력 +0.1"
ability_85_name,"shoot 5","shoot 5"
ability_85_description,"치명타 5회마다 추가 탄환 발사","치명타 5회마다 추가 탄환 발사"
ability_86_name,"sorcerer","sorcerer"
ability_86_description,"탄환 속도 2배, 메테오 속도 -50%","탄환 속도 2배, 메테오 속도 -50%"
ability_87_name,"speed 3","speed 3"
ability_87_description,"3번째 탄환마다 공격력 +0.3","3번째 탄환마다 공격력 +0.3"
ability_88_name,"speed booster","speed booster"
ability_88_description,"탄환 속도 +25%, 치명타 확률 +10%","탄환 속도 +25%, 치명타 확률 +10%"
ability_89_name,"stability","stability"
ability_89_description,"현재까지 파괴한 별 하나당 치명타 피해 +1% (최대 30%)","현재까지 파괴한 별 하나당 치명타 피해 +1% (최대 30%)"
ability_90_name,"stunning strike","stunning strike"
ability_90_description,"즉사탄 확률 +15%, 메테오 속도 +25%","즉사탄 확률 +15%, 메테오 속도 +25%"
ability_91_name,"swarm","swarm"
ability_91_description,"영역을 지나가는 탄환은 모든 별에게 피해를 줌 (지속시간 1초, 쿨타임 5초)","영역을 지나가는 탄환은 모든 별에게 피해를 줌 (지속시간 1초, 쿨타임 5초)"
ability_92_name,"taunt","taunt"
ability_92_description,"즉사탄 확률 +50%, 피해 받으면 즉사","즉사탄 확률 +50%, 피해 받으면 즉사"
ability_93_name,"tremor","tremor"
ability_93_description,"메테오 속도 +25%, 매 능력 획득까지 필요한 점수 -10","메테오 속도 +25%, 매 능력 획득까지 필요한 점수 -10"
ability_94_name,"ultimatum","ultimatum"
ability_94_description,"메테오 속도 +25%, 공격력 +25%","메테오 속도 +25%, 공격력 +25%"
ability_95_name,"unleash","unleash"
ability_95_description,"별 이동속도 +10%, 연사 간격 -20%","별 이동속도 +10%, 연사 간격 -20%"
ability_96_name,"unrelenting","unrelenting"
ability_96_description,"치명타 탄환이 지나가면 공격력가 2배 되는 영역 생성 (지속시간 1초, 쿨타임 4초)","치명타 탄환이 지나가면 공격력가 2배 되는 영역 생성 (지속시간 1초, 쿨타임 4초)"
ability_97_name,"unwavering","unwavering"
ability_97_description,"공격력 +0.5, 치명타 피해 +10%","공격력 +0.5, 치명타 피해 +10%"
ability_98_name,"void","void"
ability_98_description,"탄환이 지나가면 치명타가 되는 영역 생성 (지속시간 1.5초, 쿨타임 5초)","탄환이 지나가면 치명타가 되는 영역 생성 (지속시간 1.5초, 쿨타임 5초)"
ability_99_name,"vulnerability","vulnerability"
ability_99_description,"현재 체력 -35%, 연사 간격 -35%","현재 체력 -35%, 연사 간격 -35%"
ability_100_name,"warrior","warrior"
ability_100_description,"공격력 +20%","공격력 +20%"
ability_101_name,"volcano","volcano"
ability_101_description,"모든 별이 메테오를 생성함, 공격력 +30%","모든 별이 메테오를 생성함, 공격력 +30%"
ability_102_name,"berkano","berkano"
ability_102_description,"날개 +1, 현재 날개 1개당 공격력 +0.1","날개 +1, 현재 날개 1개당 공격력 +0.1"
ability_103_name,"ehwaz","ehwaz"
ability_103_description,"공격력 +1, 다음 라운드로 이동","공격력 +1, 다음 라운드로 이동"
ability_104_name,"ansuz","ansuz"
ability_104_description,"고정피해 +0.5","고정피해 +0.5"
ability_105_name,"hagalaz","hagalaz"
ability_105_description,"메테오가 생성되지 않음","메테오가 생성되지 않음"
ability_106_name,"jera","jera"
ability_106_description,"아이템 획득시 공격력 +0.2","아이템 획득시 공격력 +0.2"
ability_107_name,"dagaz","dagaz"
ability_107_description,"아이템 획득시 보호막 +1","아이템 획득시 보호막 +1"
ability_108_name,"algiz","algiz"
ability_108_description,"보호막 +5","보호막 +5"
ability_109_name,"perthro","perthro"
ability_109_description,"새로고침 횟수 +10","새로고침 횟수 +10"
ability_110_name,"shard","shard"
ability_110_description,"공격력 +0.1, 치명타 확률 +3%, 치명타 피해 +3%, 보호막 +1","공격력 +0.1, 치명타 확률 +3%, 치명타 피해 +3%, 보호막 +1"
ability_111_name,"spirit","spirit"
ability_111_description,"현재까지 파괴한 별 하나당 공격력 +0.01 (최대 +0.6)","현재까지 파괴한 별 하나당 공격력 +0.01 (최대 +0.6)"
ability_112_name,"cancer","cancer"
ability_112_description,"연사 간격 -0.05초","연사 간격 -0.05초"
ability_113_name,"leo","leo"
ability_113_description,"현재 체력 2배","현재 체력 2배"
ability_114_name,"taurus","taurus"
ability_114_description,"10초마다 연사 간격 -0.002초","10초마다 연사 간격 -0.002초"
ability_115_name,"aries","aries"
ability_115_description,"날개 +1, 보호막 +1","날개 +1, 보호막 +1"
ability_116_name,"virgo","virgo"
ability_116_description,"10 이상의 피해는 10 피해만 입음","10 이상의 피해는 10 피해만 입음"
ability_117_name,"libra","libra"
ability_117_description,"치명타 확률과 아이템 등장 확률을 교환함","치명타 확률과 아이템 등장 확률을 교환함"
ability_118_name,"sagittarius","sagittarius"
ability_118_description,"별 체력 -2","별 체력 -2"
ability_119_name,"capricon","capricon"
ability_119_description,"보호막 +1, 보호막 파괴시 아이템 등장","보호막 +1, 보호막 파괴시 아이템 등장"
ability_120_name,"aquaris","aquaris"
ability_120_description,"치명타 확률 +5%, 모든 공격이 치명타 판정을 받음","치명타 확률 +5%, 모든 공격이 치명타 판정을 받음"
ability_121_name,"pisces","pisces"
ability_121_description,"아이템 획득시 고정피해 +0.1","아이템 획득시 고정피해 +0.1"
ability_122_name,"scorpio","scorpio"
ability_122_description,"즉사탄 확률 +15%, 연사 간격 +0.05초","즉사탄 확률 +15%, 연사 간격 +0.05초"
ability_123_name,"gemini","gemini"
ability_123_description,"별이 작아짐, 등장하는 별의 수 +3","별이 작아짐, 등장하는 별의 수 +3"
ability_124_name,"ophiuchus","ophiuchus"
ability_124_description,"별이 무작위로 나타남, 공격력 +1","별이 무작위로 나타남, 공격력 +1"
ability_125_name,"pluto","pluto"
ability_125_description,"메테오 속도 +25%, 연사 간격 -25%","메테오 속도 +25%, 연사 간격 -25%"
ability_126_name,"overload","overload"
ability_126_description,"고정피해 2배","고정피해 2배"
ability_127_name,"horn","horn"
ability_127_description,"날개 +1, 날개 공격력 +0.5","날개 +1, 날개 공격력 +0.5"
ability_128_name,"blank","blank"
ability_128_description,"즉사탄 확률 +5%, 즉사탄이 보스에게 입히는 공격력 +50%","즉사탄 확률 +5%, 즉사탄이 보스에게 입히는 공격력 +50%"
ability_129_name,"contract","contract"
ability_129_description,"날개 +1, 본체와 날개 탄환 속도 +50%","날개 +1, 본체와 날개 탄환 속도 +50%"
ability_130_name,"repair","repair"
ability_130_description,"아이템 획득시 체력 10 회복","아이템 획득시 체력 10 회복"
ability_131_name,"heat","heat"
ability_131_description,"날개 +1, 날개 연사 간격 -20%","날개 +1, 날개 연사 간격 -20%"
ability_132_name,"lower","lower"
ability_132_description,"날개 +1, 날개 공격이 별을 2초간 25% 둔화시킴","날개 +1, 날개 공격이 별을 2초간 25% 둔화시킴"
ability_133_name,"overclock","overclock"
ability_133_description,"날개 +1, 날개 공격이 별에게 유도됨","날개 +1, 날개 공격이 별에게 유도됨"
ability_134_name,"tick","tick"
ability_134_description,"별이 10%의 피해를 더 받음","별이 10%의 피해를 더 받음"
ability_135_name,"supply","supply"
ability_135_description,"10초마다 아이템이 나타남","10초마다 아이템이 나타남"
